,budget,usa_gross_income,worlwide_gross_income
19957,,,
19958,,,
19959,CAD 2500000,,
19960,,,
19961,$ 11000000,$ 31672907,$ 31672907
19962,,,
19963,,,
19964,,,
19965,,,
19966,$ 24000000,$ 2004742,$ 2004742
19967,,,
19968,,,
19969,,,
19970,,,
19971,$ 1000000,$ 17985893,$ 17985893
19972,,,
19973,CAD 2000000,,
19974,,,$ 406
19975,,,
19976,CAD 3600000,,
19977,,$ 20259961,$ 20259961
19978,,,
19979,,,
19980,,,
19981,,,
19982,,,
19983,,,
19984,,,
19985,,,
19986,,,
19987,,,
19988,,,
19989,,,
19990,,,
19991,,,
19992,$ 650000,,
19993,$ 2000000,$ 1791147,$ 1791147
19994,,,
19995,$ 3000000,,
19996,,,
19997,,,
19998,,$ 25728,$ 25728
19999,,,
20000,,,
20001,$ 4900000,,
20002,,,
20003,$ 18000000,$ 12617845,$ 12617845
20004,,,
20005,,,
20006,DEM 10500000,$ 8144,$ 8144
20007,,,
20008,,,
20009,DEM 3500000,$ 8144,$ 8144
20010,$ 8000000,,
20011,,,
20012,,,
20013,,,
20014,,,
20015,,,
20016,$ 3000000,$ 23667907,$ 23667907
20017,,,
20018,,,
20019,,,
20020,,,
20021,,,
20022,,,
20023,,,
20024,,,
20025,,,
20026,,,
20027,,$ 39001,$ 39001
20028,,,
20029,,,
20030,,,
20031,,,
20032,,,
20033,$ 75000,,
20034,,,
20035,$ 300000,$ 2032311,$ 2032311
20036,,,
20037,,,
20038,,,
20039,,,
20040,,,
20041,,,
20042,$ 8000000,$ 26154211,$ 26154211
20043,,$ 2863642,$ 2863642
20044,$ 5000000,$ 19032261,$ 19032261
20045,,,
20046,,,
20047,,,
20048,$ 62000,,
20049,CAD 2300000,$ 5672031,$ 5672031
20050,,$ 5073,$ 5073
20051,,,
20052,,,
20053,,$ 63405,$ 63405
20054,,,
20055,,,
20056,$ 10000000,$ 8000000,$ 8000000
20057,,$ 1169875,$ 1169875
20058,,,
20059,,,
20060,,$ 14923752,$ 14923752
20061,$ 5000000,$ 14905359,$ 19905359
20062,,,
20063,,,
20064,,,
20065,,,
20066,,,
20067,$ 500000,,
20068,,,
20069,,,
20070,,$ 119285432,$ 119285432
20071,,,
20072,,$ 25524778,$ 25524778
20073,,,
20074,$ 16000000,$ 17374595,$ 17374595
20075,,,
20076,,,
20077,ITL 780000000,,
20078,,,
20079,,$ 18838812,$ 18838812
20080,,,
20081,,,
20082,,,
20083,$ 22000000,$ 9171289,$ 9171289
20084,CAD 900000,,
20085,,,
20086,,,
20087,$ 145786,,
20088,,,
20089,,,
20090,,,
20091,,,
20092,,,
20093,,,
20094,,,
20095,$ 300000,,
20096,,$ 17110,$ 17110
20097,,$ 1113538,$ 1113538
20098,$ 12000000,$ 12376625,$ 12376625
20099,,,
20100,,,
20101,,,
20102,$ 2800000,$ 26279000,$ 26279000
20103,FRF 20000000,,
20104,$ 1000000,,
20105,,,
20106,,$ 237000,$ 237000
20107,$ 12000000,$ 3702028,$ 3702028
20108,,,
20109,,$ 12042,$ 12042
20110,,,
20111,$ 6000000,,
20112,,$ 1976198,$ 1976198
20113,,$ 14920781,$ 14920781
20114,$ 18000000,$ 248159971,$ 390133212
20115,$ 32000000,$ 40382659,$ 40382659
20116,,,
20117,,,
20118,,,
20119,,$ 14492125,$ 14492125
20120,,,
20121,,,
20122,,,
20123,AUD 1800000,,
20124,$ 17000000,$ 110048,$ 110048
20125,,,
20126,,,
20127,,,
20128,$ 16000000,$ 10851261,$ 10851261
20129,,,
20130,,$ 14867086,$ 14867086
20131,,,
20132,,,
20133,,,
20134,,,
20135,,,
20136,,,
20137,,,
20138,,,
20139,,,
20140,CAD 1500000,,
20141,,$ 19450,$ 19450
20142,,,
20143,,,
20144,,,$ 30534
20145,,,
20146,,,
20147,,,
20148,,$ 35610100,$ 35610100
20149,$ 3500000,,
20150,,,
20151,CAD 8400000,$ 1622898,$ 1622898
20152,,,
20153,,,
20154,,,
20155,,,
20156,,,
20157,,,
20158,,,
20159,,,
20160,,$ 23671186,$ 23671186
20161,,,
20162,,$ 5000000,
20163,$ 14000000,$ 2022771,$ 2022771
20164,,,
20165,,,
20166,$ 10000000,$ 85297000,$ 85297000
20167,,$ 5165432,$ 5165432
20168,,,
20169,AUD 1300000,,
20170,,,
20171,,,
20172,,,
20173,,,
20174,,,
20175,,,
20176,,,
20177,,,
20178,,,
20179,$ 3500000,$ 17569027,$ 17569027
20180,CAD 1400000,,
20181,$ 14000000,$ 35856053,$ 35856053
20182,$ 6500000,$ 36565280,$ 36565280
20183,,,
20184,,,
20185,,,
20186,,,
20187,$ 8600000,,
20188,$ 5500000,$ 11492915,$ 11492915
20189,$ 5000000,$ 2028612,$ 2028612
20190,CAD 5700000,,
20191,,,
20192,CAD 4500000,,
20193,,,
20194,,,
20195,,,
20196,,,
20197,,,
20198,,,
20199,,,
20200,,,
20201,,,
20202,,,
20203,$ 20000000,$ 18826490,$ 18826490
20204,,,
20205,,,
20206,,,
20207,,,
20208,$ 2000000,,
20209,,,
20210,,,
20211,,,
20212,,,
20213,,,
20214,,,
20215,,,
20216,,,
20217,$ 10000000,$ 10853418,$ 10853418
20218,,,
20219,,,
20220,CAD 5500000,$ 13258670,$ 13258670
20221,,,
20222,,,
20223,$ 600000,,
20224,,,
20225,,,
20226,,,
20227,$ 13000000,$ 8206145,$ 8206145
20228,,,
20229,,,
20230,$ 17000000,$ 10626725,$ 10626725
20231,,,
20232,,,
20233,,,
20234,,,
20235,,,
20236,,,
20237,,,
20238,,$ 3256082,$ 3256082
20239,,$ 11118000,
20240,,,
20241,,,
20242,,,
20243,,,
20244,$ 12000000,$ 78868508,$ 78868508
20245,,,
20246,,,
20247,,,
20248,$ 250000,,
20249,$ 15000000,$ 27150534,$ 27150534
20250,,,
20251,,,
20252,$ 1000000,,
20253,,,
20254,,,
20255,,,
20256,$ 5000000,$ 12534817,$ 12534817
20257,,,
20258,,,
20259,$ 500000,,
20260,,,
20261,,,
20262,$ 50000000,$ 57059003,$ 57059003
20263,,,
20264,,,
20265,,,
20266,,,
20267,,,
20268,,,
20269,,,
20270,,,
20271,FRF 40000000,,
20272,,,
20273,,,
20274,,,
20275,,,
20276,,,
20277,CAD 913000,,
20278,,,
20279,,$ 13111101,$ 13111101
20280,,,
20281,,,
20282,,,
20283,$ 3000000,,
20284,$ 11000000,$ 1736123,$ 1736123
20285,$ 35000,,
20286,,,
20287,,,
20288,,$ 7742572,$ 7742572
20289,$ 8000000,$ 14056528,$ 14056528
20290,,,
20291,,,
20292,$ 15000000,$ 36821203,$ 36821203
20293,$ 35000000,$ 69701637,$ 69701637
20294,,$ 48731,
20295,,,
20296,,,
20297,$ 28000000,$ 32868943,$ 41492614
20298,,,
20299,,,
20300,,,
20301,,,
20302,$ 10000,,
20303,NLG 3000000,,
20304,,,
20305,,,
20306,,,
20307,$ 22000000,$ 6118683,$ 6118683
20308,,,
20309,,,
20310,$ 500000,,$ 3111
20311,,,
20312,,$ 375713,$ 375713
20313,,,
20314,,,
20315,,$ 78350,$ 78350
20316,,,
20317,,,
20318,,,
20319,,,
20320,$ 11300000,$ 5301539,$ 5301539
20321,$ 18000000,$ 7000000,$ 7000000
20322,,,
20323,,$ 2977706,$ 2977706
20324,$ 20000,,
20325,,,
20326,,,
20327,,,
20328,,,
20329,,,
20330,$ 4300000,,
20331,,,
20332,ESP 90000000,,
20333,,,
20334,$ 850000,$ 840958,$ 840958
20335,,$ 5664557,
20336,,,
20337,,,
20338,,,
20339,$ 8000000,$ 21028755,$ 21028755
20340,,,
20341,,,
20342,,,
20343,,,
20344,$ 15000000,$ 41613957,$ 41630431
20345,,,
20346,$ 9000000,$ 18196170,$ 18196170
20347,CAD 1500000,,
20348,,,
20349,,,
20350,,,
20351,,$ 19282134,$ 19282134
20352,,,
20353,,,
20354,,,
20355,,,
20356,,,
20357,$ 5000000,$ 14099953,$ 14099953
20358,,,
20359,,,
20360,,,
20361,GBP 320000,$ 2256246,$ 2256246
20362,,,
20363,,,
20364,,,
20365,,,
20366,,,
20367,$ 10500000,$ 435110554,$ 793482178
20368,$ 350000,,
20369,,,
20370,,,
20371,,$ 1474249,$ 1474249
20372,,,
20373,,$ 893967,$ 893967
20374,,,
20375,,$ 143369,$ 143369
20376,,$ 123572,$ 123572
20377,$ 350000,$ 2400000,$ 2893091
20378,$ 10000000,$ 6110000,$ 6110566
20379,,$ 1080769,
20380,,,
20381,,,
20382,$ 6000000,$ 6783304,$ 6795771
20383,,,
20384,,,
20385,$ 4500000,$ 27092880,$ 27092880
20386,$ 4000000,,
20387,,,
20388,,,
20389,,,
20390,,$ 3355948,$ 3355948
20391,,,
20392,$ 6000000,$ 2666873,$ 2666873
20393,,,
20394,$ 18000000,$ 46708276,$ 46708276
20395,$ 15000000,$ 47212904,$ 125212904
20396,,,$ 2874
20397,$ 15000000,$ 199078,$ 199078
20398,,,
20399,$ 1000000,,
20400,$ 5000000,$ 6660333,$ 6660333
20401,,,
20402,,,
20403,,$ 5000000,
20404,$ 2300000,$ 36690067,$ 36690067
20405,$ 120000,,
20406,CAD 1400000,,
20407,$ 22000000,$ 52767889,$ 52767889
20408,,,
20409,,,
20410,,,
20411,,,
20412,,,
20413,,,
20414,$ 6500000,,
20415,,,
20416,,,
20417,$ 13200000,$ 15171476,$ 15171476
20418,,,
20419,,,
20420,,,
20421,,,
20422,,,
20423,,,
20424,,,
20425,CAD 578000,,
20426,,$ 9823934,$ 9823934
20427,,,
20428,CAD 8300000,,
20429,,$ 1761291,$ 1772889
20430,,,
20431,,$ 5124391,$ 5124391
20432,,,
20433,,,
20434,,,
20435,,,
20436,,$ 2914328,$ 2914328
20437,,,
20438,$ 2000000,$ 4484991,$ 4484991
20439,,,
20440,$ 2000000,,
20441,,,
20442,,$ 667863,$ 667863
20443,,,
20444,,,
20445,,,$ 310103
20446,,$ 6968359,$ 6968359
20447,,$ 291390,$ 291390
20448,,$ 1515578,$ 1515578
20449,,,
20450,,,
20451,CAD 5600000,$ 8693512,$ 8693512
20452,,,
20453,,,
20454,,,
20455,$ 46000000,$ 5200986,$ 5200986
20456,,,
20457,,,
20458,,,
20459,,,
20460,,,
20461,,,
20462,,,
20463,,,
20464,,,
20465,$ 5000000,$ 3792188,$ 3792188
20466,$ 13400000,$ 2869638,$ 2869638
20467,CAD 2000000,,
20468,,,
20469,,,
20470,,$ 22440,$ 22440
20471,,,
20472,,,
20473,,,
20474,,,
20475,,,
20476,,$ 15782759,$ 15782759
20477,,,
20478,,,
20479,,,
20480,,,
20481,,,
20482,,$ 5829781,$ 5829781
20483,$ 3500000,$ 6455330,$ 6455330
20484,,,
20485,,,
20486,,,
20487,,,
20488,,$ 2370376,$ 2370376
20489,,$ 777087,$ 777087
20490,,,
20491,,,
20492,$ 17000000,$ 946461,$ 946461
20493,,,
20494,,,
20495,,$ 112940,
20496,,$ 14009,$ 14009
20497,,,
20498,,,
20499,,$ 11897978,$ 11897978
20500,$ 3500000,$ 20659423,$ 20659423
20501,$ 300000,,
20502,,,
20503,,,
20504,,,
20505,,,
20506,$ 20000000,$ 5675599,$ 5675599
20507,,,
20508,,,
20509,,$ 9077269,$ 9077269
20510,,,
20511,$ 9500000,$ 14000000,$ 14000000
20512,,,
20513,,,
20514,,,
20515,$ 8000000,,
20516,,,
20517,,,
20518,,,
20519,,$ 12408066,$ 12408066
20520,,,
20521,,,
20522,,,
20523,$ 5500000,,
20524,,,
20525,,,
20526,,$ 20123620,$ 20123620
20527,,,
20528,,,
20529,,,
20530,,,
20531,,$ 10054150,$ 10054150
20532,,,
20533,,$ 21095638,$ 21095638
20534,,,
20535,,$ 2257307,$ 2257307
20536,,,
20537,,,
20538,,,
20539,,,
20540,$ 7500000,$ 129795554,$ 129795554
20541,$ 26000000,$ 636796,$ 636796
20542,,,
20543,,,
20544,,,
20545,,$ 612300,
20546,,,
20547,,,
20548,,,
20549,,,
20550,,,
20551,CAD 3500000,$ 5588800,$ 5588800
20552,,,
20553,$ 800000,,
20554,DEM 3000000,,
20555,$ 6000000,$ 6062898,$ 6062898
20556,,,
20557,,,
20558,,$ 3178542,$ 3178542
20559,,,
20560,$ 16000000,$ 5672311,$ 5672311
20561,,,
20562,$ 12000000,$ 22244207,$ 22258911
20563,,$ 7983086,$ 7983086
20564,,,
20565,,,
20566,,,
20567,$ 10700000,$ 77142388,$ 77142388
20568,,,
20569,$ 2500000,$ 111289673,$ 111289673
20570,,,
20571,,,
20572,,,
20573,,,
20574,,,
20575,,,
20576,,,
20577,,,
20578,,,
20579,,,
20580,$ 1200000,,
20581,,,
20582,,,
20583,,,
20584,DEM 4400000,,
20585,,,
20586,,,
20587,,,
20588,,,
20589,,$ 3723036,$ 3723036
20590,,,
20591,$ 3500000,,
20592,,,
20593,,$ 36299720,$ 36299720
20594,,,
20595,$ 17000000,$ 125049125,$ 125049125
20596,,,
20597,,,
20598,,,
20599,,,
20600,,,
20601,,,
20602,,,
20603,,$ 10413170,$ 10413170
20604,,,
20605,,,
20606,,,
20607,,,
20608,$ 7000000,$ 14665733,$ 14665733
20609,,,
20610,,,
20611,,$ 11378339,$ 11378339
20612,DEM 2600000,$ 8144,$ 8144
20613,,,
20614,,$ 1054328,$ 1054328
20615,,,
20616,,,
20617,,,
20618,,,
20619,$ 12000000,$ 9217530,$ 9217530
20620,$ 4500000,$ 10490791,$ 10490791
20621,,$ 20225989,$ 20225989
20622,,$ 6668025,$ 6668025
20623,,,
20624,$ 250000,,
20625,,,
20626,,,
20627,$ 60000,,
20628,,,
20629,$ 4000000,$ 6328816,$ 6328816
20630,$ 12000000,$ 30036000,$ 30036000
20631,,,
20632,,,
20633,,$ 263635,$ 263635
20634,,,
20635,$ 4300000,,
20636,,,
20637,,,
20638,,,
20639,,,$ 3700
20640,$ 11200000,$ 78912963,$ 78912963
20641,AUD 2500000,,
20642,$ 10000000,$ 5979947,$ 5979947
20643,,$ 2519559,$ 2519559
20644,,$ 4968000,$ 4968000
20645,,,
20646,,,$ 11959
20647,$ 3000000,,
20648,,$ 39103425,$ 39103425
20649,,,
20650,,,
20651,,,
20652,,,
20653,$ 13000000,$ 5005245,$ 5005245
20654,,,
20655,,,
20656,,,
20657,ESP 2000000,,
20658,,,
20659,,$ 7400000,$ 7400000
20660,,,
20661,,$ 16894678,$ 16894678
20662,$ 15000000,$ 19629760,$ 19629760
20663,$ 7000000,$ 21134374,$ 21134374
20664,$ 750000,,
20665,,,
20666,$ 21000000,$ 177200000,$ 177200000
20667,,,
20668,,,
20669,$ 17000000,$ 47118057,$ 47118057
20670,,,
20671,$ 6000000,$ 9056073,$ 9056073
20672,,,
20673,,$ 3783329,$ 3783329
20674,,,
20675,,,
20676,$ 55000,,
20677,,,
20678,$ 17000000,$ 33000000,$ 33000000
20679,,,
20680,,,
20681,,,
20682,,,
20683,,,
20684,,,
20685,,,
20686,,,
20687,,,
20688,,,
20689,,$ 5229643,$ 5229643
20690,$ 16000000,$ 53977250,$ 53993738
20691,,$ 13253583,$ 13253583
20692,,$ 28215453,$ 28229046
20693,,,
20694,,$ 5091888,$ 5091888
20695,,,
20696,,,
20697,,,
20698,,,
20699,ESP 40000000,,
20700,,,
20701,,,
20702,,,
20703,,,
20704,NZD 1000000,,
20705,,,
20706,,,
20707,,,
20708,$ 8000000,$ 46509,$ 46509
20709,,,
20710,,,$ 4948
20711,,,
20712,$ 17000000,$ 29712172,$ 29712172
20713,$ 10000000,$ 3583513,$ 3583513
20714,,,
20715,,,
20716,,,
20717,,,
20718,$ 19000000,$ 2279543,$ 2279543
20719,,,
20720,,$ 2810199,$ 2810199
20721,,$ 30688860,$ 30688860
20722,,,
20723,,$ 16897768,$ 16897768
20724,DEM 20000000,,
20725,,,
20726,,,
20727,,,
20728,,,
20729,,$ 781151,$ 781151
20730,,,
20731,$ 4520000,$ 7175592,$ 7175592
20732,,,
20733,,,
20734,,,
20735,,,
20736,,,
20737,,,
20738,,,
20739,,,
20740,,,
20741,,,
20742,$ 5600000,$ 17233166,$ 17233166
20743,CAD 200000,,
20744,,,
20745,$ 6000000,$ 6333135,$ 6333135
20746,,,
20747,,,
20748,,,
20749,,,
20750,,,
20751,,,
20752,,,
20753,,,
20754,,,
20755,,,
20756,,,
20757,,,
20758,,,
20759,,,
20760,AUD 1050000,,
20761,$ 3000000,$ 1867792,$ 1867792
20762,,$ 9190819,$ 9190819
20763,,,
20764,,,
20765,,,
20766,,,
20767,,,
20768,$ 4500000,,
20769,,,
20770,,,
20771,,,
20772,ESP 200000,,
20773,,,
20774,$ 11800000,$ 5997566,$ 5997566
20775,,,
20776,,,
20777,,,
20778,$ 8000000,$ 56399659,$ 56399659
20779,,,
20780,,$ 12049108,$ 12049514
20781,,,
20782,,,
20783,,,
20784,,,
20785,,$ 84775,
20786,$ 22000000,$ 42313354,$ 42313354
20787,,,
20788,,,
20789,,,
20790,,,
20791,$ 15000000,$ 10219460,$ 10219460
20792,,,
20793,,,
20794,,$ 19910002,$ 19910002
20795,,,
20796,,,
20797,,,
20798,,,
20799,,,
20800,,$ 2938179,$ 2938179
20801,,,
20802,,,
20803,,,
20804,,,
20805,,,
20806,,,
20807,,$ 200498,$ 200498
20808,,,
20809,,,
20810,,,$ 19957
20811,,,
20812,$ 9700000,$ 21017849,$ 21017849
20813,$ 3300000,$ 20605209,$ 20618717
20814,,,
20815,,,
20816,,,
20817,,,
20818,,,
20819,,$ 21667789,$ 21667789
20820,,,
20821,,,
20822,,,
20823,,,
20824,,,
20825,,$ 3974975,$ 3974975
20826,,,
20827,,,
20828,,,
20829,$ 2500000,,
20830,,$ 200000,
20831,$ 5000000,$ 21156152,$ 21156152
20832,,,
20833,$ 11000000,$ 4491986,$ 4491986
20834,CAD 3700000,,
20835,$ 8000000,$ 16134627,$ 16134627
20836,,,
20837,,,
20838,,,
20839,,,
20840,,$ 687475,$ 687475
20841,,,$ 1696
20842,$ 10000000,$ 20766616,$ 20766616
20843,$ 1000000,,
20844,$ 3000000,,
20845,$ 10000000,$ 10369581,$ 10369581
20846,,,
20847,,,
20848,,,
20849,,,
20850,FRF 17000000,,
20851,,,
20852,,,
20853,,,
20854,$ 40000,,
20855,,$ 10375893,$ 10375893
20856,,,
20857,,,
20858,GBP 1456000,$ 5310748,$ 5310748
20859,,,
20860,,$ 29309766,$ 29309766
20861,,,
20862,,$ 1262691,$ 1262691
20863,,$ 4786789,$ 4786789
20864,,,
20865,,$ 14648076,$ 14648076
20866,,$ 27920,$ 27920
20867,,,
20868,,,
20869,,,
20870,,,
20871,,,
20872,,,
20873,,,
20874,,,
20875,,,
20876,,,
20877,,$ 1818910,$ 1818910
20878,,,
20879,$ 2600000,,
20880,,,
20881,,,
20882,,,
20883,,,
20884,,,
20885,,,
20886,,,
20887,,,
20888,$ 1200000,$ 760883,$ 760883
20889,,,
20890,,,
20891,$ 4000000,$ 92921203,$ 92921203
20892,$ 5500000,$ 1645711,$ 1645711
20893,,,
20894,,,
20895,,,
20896,,$ 1318839,$ 1318839
20897,,,
20898,,,
20899,,,
20900,,,
20901,$ 220000,$ 975414,$ 975414
20902,,,
20903,,,
20904,,,
20905,,,
20906,,,
20907,,,
20908,,$ 234950,
20909,,,
20910,,,
20911,,$ 6666725,$ 6666725
20912,$ 15000000,$ 15856028,$ 15856028
20913,,,
20914,CAD 4500000,$ 5516140,$ 5516140
20915,,,
20916,,,
20917,,,
20918,,,
20919,,,
20920,$ 2500000,$ 14400000,$ 14400000
20921,,,
20922,,$ 42914,$ 42914
20923,,$ 114247,
20924,,$ 272278,$ 272278
20925,,,
20926,,,
20927,,,
20928,,,
20929,$ 2500000,$ 10676194,$ 10676194
20930,$ 19000000,$ 28445927,$ 28445927
20931,,,
20932,,,
20933,$ 7500000,,
20934,,,
20935,,$ 5979292,$ 5988322
20936,,,
20937,,,
20938,,,
20939,,,
20940,,,
20941,,$ 151462,
20942,,,
20943,,,
20944,,,
20945,,,
20946,,,
20947,$ 20500000,$ 45517055,$ 87987055
20948,,,
20949,,,
20950,$ 11000,,
20951,$ 2000000,,
20952,$ 300000,$ 3952448,$ 3952448
20953,,,
20954,,,
20955,,,
20956,SEK 12000000,,
20957,,,
20958,$ 11000000,$ 4218594,$ 4218594
20959,,,
20960,,,
20961,,,
20962,$ 20000000,$ 2536242,$ 2536242
20963,CAD 1200000,,
20964,,,
20965,$ 47000000,$ 16916617,$ 16916617
20966,,,
20967,$ 25000,,
20968,,$ 164964,
20969,,,
20970,BEF 65000000,,
20971,,,
20972,$ 300000,$ 1530839,$ 1530839
20973,,,
20974,,,
20975,,,
20976,,,
20977,$ 500000,,
20978,,$ 5895761,$ 5895761
20979,,,
20980,$ 5000000,$ 12232628,$ 12232628
20981,$ 5000000,$ 1223200,$ 1223200
20982,,,
20983,,$ 11787127,$ 11787127
20984,$ 7000000,$ 1246141,$ 1246141
20985,,,
20986,$ 550000,$ 5269990,$ 5269990
20987,,,
20988,$ 10100000,$ 10171304,$ 10171304
20989,,,
20990,,,
20991,,,
20992,,,
20993,$ 19000000,$ 10964740,$ 10964740
20994,,$ 2443487,$ 2443487
20995,,,
20996,,$ 10353438,$ 10353438
20997,,$ 2314561,$ 2314561
20998,,,
20999,,,
21000,,,
21001,$ 4600000,,
21002,,,
21003,,,
21004,,,
21005,,,
21006,,,
21007,,,
21008,,$ 17613720,$ 17613720
21009,,$ 2306560,$ 2306560
21010,,,
21011,,$ 5301085,$ 5301085
21012,$ 75000,,
21013,,,
21014,,,
21015,,,
21016,,,
21017,$ 9000000,$ 14929552,$ 14949697
21018,,,
21019,,,
21020,,$ 64783827,$ 64783827
21021,,,
21022,,,
21023,,$ 22587834,$ 22587834
21024,,,
21025,,,
21026,,,
21027,$ 12000000,$ 1963756,$ 1963756
21028,$ 15000000,$ 61399552,$ 61399552
21029,,,
21030,,$ 29600000,$ 29600000
21031,$ 36000000,$ 55432841,$ 55432841
21032,,$ 5563663,$ 5563663
21033,$ 42000,,
21034,$ 6000000,$ 6670680,$ 6670680
21035,,,
21036,,$ 41014,$ 55269
21037,,,
21038,,,
21039,,,
21040,$ 27500000,$ 67893619,$ 67893619
21041,$ 4000000,$ 1080470,$ 1080470
21042,$ 978000,,
21043,$ 4000000,,
21044,,,
21045,$ 6500000,$ 6486797,$ 6486797
21046,,,
21047,$ 10000000,$ 25697647,$ 25697647
21048,,,
21049,,,
21050,,,
21051,,,
21052,,,$ 159
21053,,,
21054,,,
21055,,$ 2878404,$ 2878404
21056,,,
21057,,,
21058,,,
21059,,,
21060,,$ 694497,$ 694497
21061,CAD 1000000,$ 560,$ 560
21062,,,
21063,,,
21064,$ 6500000,$ 33759266,$ 33759266
21065,,,
21066,,,
21067,,,
21068,,,
21069,$ 3500000,$ 14049540,$ 14049540
21070,,,
21071,,,
21072,,,
21073,,,
21074,,,
21075,$ 5000000,$ 34725000,$ 34725000
21076,,,
21077,,,
21078,,,
21079,,,
21080,,,
21081,,,
21082,,,
21083,,,
21084,AUD 5000000,,
21085,$ 32500000,$ 309306177,$ 475347111
21086,$ 700000,$ 13168027,$ 13168027
21087,,$ 16156776,$ 16156776
21088,$ 27000000,$ 21192102,$ 21192102
21089,,,
21090,$ 6200000,$ 63541777,$ 63541777
21091,$ 8000000,$ 30379,$ 30379
21092,,$ 6857733,$ 6857733
21093,,,
21094,,,
21095,,,
21096,CAD 5300000,,
21097,$ 10000000,$ 2494480,$ 2494480
21098,,,
21099,$ 8000000,$ 3000000,$ 3000000
21100,,,
21101,,,
21102,,,
21103,,,
21104,,,
21105,$ 25000000,$ 1402962,$ 1402962
21106,,,
21107,,,
21108,,,
21109,,,
21110,,,
21111,$ 15000,,
21112,$ 25000000,$ 45408703,$ 66023585
21113,,,
21114,,,
21115,,,
21116,,$ 1083395,
21117,,,
21118,$ 800000,$ 2082215,$ 2082215
21119,,,
21120,,,
21121,,,
21122,CAD 300000,,
21123,,,
21124,,,
21125,,,
21126,,,
21127,,,
21128,,,
21129,,,
21130,,,
21131,,,
21132,,,
21133,$ 10000000,$ 35615609,$ 35615609
21134,,,
21135,,,
21136,,,
21137,$ 350000,,
21138,,$ 5678950,$ 5678950
21139,,,
21140,,,
21141,$ 19000000,$ 8400000,$ 8400000
21142,,,
21143,,,
21144,,,
21145,,,
21146,,,
21147,$ 14400000,$ 16478265,$ 16478265
21148,CAD 4900000,,
21149,,$ 24071666,$ 24071666
21150,,$ 6472990,$ 6472990
21151,,$ 5555305,$ 5555305
21152,,,
21153,$ 22000000,$ 64892670,$ 64892670
21154,NLG 300000,,
21155,,,
21156,$ 4000000,$ 8571374,$ 8571374
21157,,$ 1362303,$ 1362303
21158,,$ 378452,$ 378452
21159,,$ 13000000,$ 13000000
21160,,$ 1723487,$ 1723487
21161,$ 22000000,$ 67642693,$ 67642693
21162,,,
21163,$ 39000000,$ 59950623,$ 59950623
21164,,,
21165,$ 12000000,$ 14000000,$ 14000000
21166,,,
21167,,$ 2439705,$ 2439705
21168,,,
21169,,,
21170,,,
21171,,,
21172,,,
21173,,,
21174,,$ 8443124,$ 8443124
21175,$ 8000000,$ 108423489,$ 108423489
21176,,,
21177,,$ 2044892,$ 2044892
21178,,,
21179,,,
21180,,,
21181,,,
21182,,,
21183,$ 70000,,
21184,$ 9000000,$ 13030214,$ 13030214
21185,,,$ 18703
21186,,,
21187,,$ 2433722,$ 2433722
21188,,,
21189,$ 15000000,$ 90404800,$ 90404800
21190,,,
21191,$ 5000000,$ 4304286,$ 4304286
21192,,,
21193,,,
21194,,,
21195,,,
21196,,,
21197,,,
21198,,,
21199,,,
21200,,,
21201,$ 10000000,$ 29450919,$ 29450919
21202,,$ 23646952,$ 23646952
21203,,,
21204,,,
21205,,,
21206,$ 14500000,$ 30503151,$ 30503151
21207,$ 9500000,$ 5696391,$ 5696391
21208,,,
21209,,,
21210,,,
21211,$ 350000,$ 17343596,$ 17343596
21212,,,
21213,,,
21214,$ 5952000,$ 2120439,$ 2120439
21215,,,
21216,,,
21217,,,
21218,,,
21219,,$ 509,$ 509
21220,,,
21221,,,
21222,,,
21223,,,
21224,,,
21225,$ 12000000,$ 79567667,$ 79567667
21226,,,
21227,,,
21228,$ 100000,,
21229,$ 8000000,$ 724912,$ 724912
21230,,,
21231,,,
21232,$ 1000000,,
21233,,$ 9632062,$ 9632062
21234,,,
21235,,,
21236,,,
21237,,,
21238,,,
21239,,,
21240,,,
21241,$ 13000000,$ 10278575,$ 10278575
21242,$ 12000000,$ 40218899,$ 40218899
21243,,,
21244,,$ 238534,
21245,,,
21246,,,
21247,ITL 500000000,,
21248,,$ 11798616,$ 11798616
21249,,,
21250,,,
21251,,,
21252,,,
21253,,,
21254,,,
21255,,,
21256,,,
21257,$ 28000000,$ 40400657,$ 40400657
21258,,,
21259,,,
21260,,,
21261,,,
21262,,,
21263,,$ 6254148,$ 6254148
21264,$ 13000000,$ 21689062,$ 21689062
21265,,,
21266,,,
21267,,,
21268,,,
21269,,,
21270,,$ 36403064,$ 36403064
21271,,,
21272,$ 1000000,$ 95000,$ 95000
21273,,$ 7035585,$ 7035585
21274,$ 18000000,$ 51973029,$ 52066791
21275,,,
21276,,,
21277,,$ 5021751,$ 5021751
21278,,,
21279,,,
21280,$ 3000000,$ 17488564,$ 17488564
21281,,,
21282,,,
21283,,,
21284,DEM 1000000,,
21285,,,
21286,,,
21287,,,
21288,$ 5000000,$ 38435947,$ 38435947
21289,,,
21290,,,
21291,,,
21292,CAD 4248000,$ 162364,$ 162364
21293,$ 221000,$ 2687148,$ 2687148
21294,$ 9500000,$ 16595791,$ 16595791
21295,,,
21296,,,$ 2069000
21297,,,
21298,$ 18000000,$ 19265302,$ 19265302
21299,$ 14000000,$ 234760478,$ 316360478
21300,,,
21301,,,
