,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics
4879,6.0,186,,8.0,4.0
4880,6.0,150,,13.0,2.0
4881,7.0,2744,,56.0,19.0
4882,6.4,213,,11.0,
4883,6.5,186,,13.0,3.0
4884,7.1,111,,5.0,1.0
4885,5.8,105,,3.0,2.0
4886,6.4,116,,4.0,8.0
4887,7.4,4834,,47.0,31.0
4888,7.3,5271,,57.0,18.0
4889,7.3,2865,,49.0,30.0
4890,5.9,204,,11.0,2.0
4891,6.4,112,,4.0,7.0
4892,7.2,135,,7.0,2.0
4893,5.6,115,,11.0,3.0
4894,7.8,30249,,163.0,93.0
4895,6.7,676,,16.0,10.0
4896,6.5,654,,25.0,12.0
4897,7.1,599,,3.0,4.0
4898,5.7,117,,8.0,2.0
4899,6.6,723,,23.0,2.0
4900,7.1,1119,,24.0,11.0
4901,7.3,9550,,141.0,83.0
4902,6.5,800,,14.0,13.0
4903,6.5,143,,7.0,3.0
4904,6.9,131,,2.0,
4905,6.3,146,,1.0,1.0
4906,7.1,472,,21.0,4.0
4907,5.4,181,,11.0,6.0
4908,6.0,129,,2.0,2.0
4909,5.3,761,,33.0,31.0
4910,5.3,201,,11.0,5.0
4911,6.6,518,,18.0,5.0
4912,6.9,1698,,32.0,11.0
4913,6.4,731,,30.0,24.0
4914,6.6,878,,25.0,12.0
4915,6.5,763,,28.0,10.0
4916,7.1,1376,,34.0,2.0
4917,6.4,1406,,44.0,17.0
4918,6.6,1227,,23.0,11.0
4919,6.2,162,,12.0,2.0
4920,7.7,13623,,100.0,87.0
4921,6.1,146,,8.0,1.0
4922,5.7,157,,7.0,2.0
4923,4.9,311,,16.0,5.0
4924,6.8,195,,9.0,6.0
4925,6.3,138,,,2.0
4926,6.5,2101,,22.0,9.0
4927,6.2,869,,30.0,8.0
4928,5.8,165,,10.0,1.0
4929,6.7,283,,13.0,2.0
4930,6.2,363,,15.0,7.0
4931,6.5,1764,,35.0,19.0
4932,7.1,7708,,75.0,36.0
4933,7.5,12468,,146.0,36.0
4934,6.0,213,,15.0,1.0
4935,7.7,340,,3.0,
4936,6.7,3568,,39.0,12.0
4937,6.3,259,,,3.0
4938,6.2,156,,4.0,3.0
4939,6.7,633,,16.0,6.0
4940,6.7,157,,12.0,3.0
4941,7.3,6922,,59.0,44.0
4942,5.8,212,,12.0,1.0
4943,5.6,502,,16.0,10.0
4944,6.1,1778,,43.0,12.0
4945,7.3,8045,,106.0,69.0
4946,6.4,300,,13.0,7.0
4947,6.4,302,,13.0,5.0
4948,6.6,1078,,25.0,4.0
4949,8.0,34524,92.0,227.0,135.0
4950,6.3,416,,16.0,13.0
4951,6.2,101,,6.0,
4952,6.4,1035,,19.0,9.0
4953,7.3,117,,1.0,1.0
4954,6.4,1535,,34.0,28.0
4955,6.1,144,,6.0,2.0
4956,6.9,518,,26.0,3.0
4957,6.0,402,,10.0,6.0
4958,7.4,2945,,67.0,31.0
4959,6.3,108,,7.0,5.0
4960,6.0,333,,11.0,6.0
4961,5.0,345,,,
4962,6.5,935,,32.0,11.0
4963,7.2,3195,,53.0,21.0
4964,7.5,2376,,38.0,9.0
4965,6.8,429,,15.0,3.0
4966,6.2,260,,16.0,7.0
4967,6.2,242,,13.0,5.0
4968,5.4,129,,9.0,7.0
4969,6.0,1284,,20.0,10.0
4970,7.3,3836,,25.0,35.0
4971,6.7,677,,21.0,9.0
4972,6.2,173,,7.0,2.0
4973,7.7,10520,,137.0,78.0
4974,6.0,218,,15.0,4.0
4975,7.4,14504,,184.0,111.0
4976,6.7,238,,10.0,2.0
4977,6.0,1178,,29.0,14.0
4978,6.6,1676,,38.0,18.0
4979,5.8,264,,11.0,
4980,5.5,301,,1.0,1.0
4981,6.0,405,,17.0,8.0
4982,6.4,703,,26.0,5.0
4983,6.6,166,,1.0,1.0
4984,6.7,204,,10.0,2.0
4985,6.0,168,,7.0,2.0
4986,7.5,2685,,75.0,19.0
4987,5.7,158,,6.0,3.0
4988,8.4,17829,96.0,106.0,126.0
4989,5.9,120,,5.0,
4990,5.9,651,,19.0,14.0
4991,6.4,285,,1.0,7.0
4992,5.9,173,,12.0,1.0
4993,6.6,581,,19.0,9.0
4994,7.1,4784,,87.0,32.0
4995,5.3,145,,10.0,2.0
4996,5.2,219,,14.0,5.0
4997,6.3,1242,,23.0,13.0
4998,5.3,622,,33.0,17.0
4999,6.1,132,,2.0,2.0
5000,5.9,270,,14.0,5.0
5001,6.0,631,,22.0,22.0
5002,5.3,282,,18.0,8.0
5003,5.8,153,,9.0,3.0
5004,6.5,168,,7.0,2.0
5005,6.5,549,,21.0,3.0
5006,6.5,182,,8.0,2.0
5007,6.6,1011,,32.0,11.0
5008,6.6,334,,12.0,6.0
5009,7.4,2434,,53.0,44.0
5010,6.1,502,,17.0,4.0
5011,6.6,581,,20.0,4.0
5012,6.7,1222,,22.0,7.0
5013,6.4,284,,13.0,5.0
5014,6.3,107,,5.0,
5015,5.8,129,,12.0,2.0
5016,6.7,1183,60.0,38.0,21.0
5017,6.8,682,,22.0,10.0
5018,5.8,4703,,102.0,57.0
5019,7.3,4332,,63.0,19.0
5020,6.6,2596,,59.0,28.0
5021,2.5,2666,,46.0,5.0
5022,6.3,119,,7.0,1.0
5023,7.5,7741,,110.0,45.0
5024,6.1,150,,6.0,1.0
5025,6.2,404,,23.0,6.0
5026,6.2,192,,7.0,1.0
5027,6.7,327,,13.0,3.0
5028,6.6,3941,,75.0,49.0
5029,6.0,152,,10.0,4.0
5030,6.9,433,,25.0,17.0
5031,7.8,8827,,57.0,40.0
5032,6.5,1095,,29.0,13.0
5033,6.6,156,,6.0,5.0
5034,6.3,863,,24.0,10.0
5035,5.3,298,,18.0,25.0
5036,6.8,159,,8.0,1.0
5037,6.4,398,,16.0,4.0
5038,6.8,202,,10.0,
5039,7.1,611,,27.0,6.0
5040,6.7,107,,,
5041,6.0,279,,15.0,6.0
5042,6.8,1561,,33.0,12.0
5043,7.6,10595,,142.0,84.0
5044,6.8,133,,7.0,1.0
5045,7.0,333,,8.0,3.0
5046,6.7,352,,15.0,2.0
5047,7.9,32799,,164.0,116.0
5048,7.0,1395,,27.0,10.0
5049,5.6,131,,6.0,2.0
5050,5.9,161,,8.0,2.0
5051,6.9,112,,13.0,7.0
5052,6.4,131,,2.0,2.0
5053,6.6,293,,3.0,3.0
5054,8.0,22055,88.0,363.0,110.0
5055,6.5,101,,3.0,1.0
5056,5.8,156,,9.0,
5057,6.9,387,,12.0,4.0
5058,5.2,311,,2.0,
5059,7.1,1639,,35.0,10.0
5060,7.1,2558,,56.0,43.0
5061,7.0,211,,2.0,4.0
5062,7.2,1770,,27.0,11.0
5063,6.1,187,,10.0,2.0
5064,6.3,246,,11.0,2.0
5065,6.6,306,,12.0,3.0
5066,7.3,4265,,72.0,25.0
5067,5.4,334,,27.0,6.0
5068,7.5,1686,,46.0,9.0
5069,6.5,327,,14.0,1.0
5070,6.6,193,,12.0,2.0
5071,7.0,1054,,32.0,6.0
5072,7.4,839,,10.0,10.0
5073,5.2,249,,15.0,3.0
5074,7.5,11427,,124.0,66.0
5075,6.1,467,,24.0,15.0
5076,6.7,391,,14.0,5.0
5077,6.6,359,,8.0,9.0
5078,6.3,458,,21.0,8.0
5079,7.3,1237,,34.0,17.0
5080,6.6,149,,6.0,3.0
5081,6.9,3228,,50.0,20.0
5082,6.8,619,,17.0,6.0
5083,7.0,1200,55.0,41.0,13.0
5084,7.2,3142,,35.0,20.0
5085,6.1,279,,18.0,7.0
5086,5.0,119,,10.0,3.0
5087,6.9,610,,20.0,2.0
5088,6.8,850,,24.0,9.0
5089,6.7,281,,2.0,1.0
5090,6.2,193,,8.0,1.0
5091,5.6,236,,11.0,3.0
5092,6.6,168,,4.0,3.0
5093,6.3,1373,,36.0,10.0
5094,6.5,1177,,31.0,3.0
5095,4.9,148,,13.0,4.0
5096,6.6,1264,,35.0,11.0
5097,7.8,14047,,155.0,99.0
5098,5.4,150,,12.0,3.0
5099,6.7,1026,,27.0,9.0
5100,6.0,217,,7.0,1.0
5101,6.2,436,,14.0,6.0
5102,5.0,187,,7.0,3.0
5103,6.5,733,,11.0,9.0
5104,6.7,1195,,44.0,3.0
5105,7.1,2850,,43.0,26.0
5106,6.4,1504,,31.0,11.0
5107,7.6,42377,,186.0,93.0
5108,6.0,117,,3.0,2.0
5109,7.0,3518,,61.0,18.0
5110,6.5,568,,27.0,5.0
5111,7.2,2907,,54.0,23.0
5112,6.8,1261,,36.0,16.0
5113,6.7,401,,26.0,16.0
5114,6.2,855,,35.0,19.0
5115,6.2,528,,36.0,18.0
5116,6.2,134,,4.0,4.0
5117,7.0,254,,4.0,13.0
5118,6.4,2251,,25.0,12.0
5119,6.7,127,,2.0,1.0
5120,6.8,262,,15.0,2.0
5121,6.4,216,,9.0,3.0
5122,6.0,147,,4.0,3.0
5123,6.1,514,,19.0,7.0
5124,6.4,11944,85.0,51.0,39.0
5125,6.5,669,,27.0,7.0
5126,6.4,293,,7.0,4.0
5127,6.4,733,,20.0,11.0
5128,6.7,3329,,30.0,33.0
5129,8.0,6964,,89.0,34.0
5130,6.3,254,,4.0,1.0
5131,6.1,149,,7.0,5.0
5132,6.5,819,,16.0,9.0
5133,6.1,344,,16.0,5.0
5134,7.5,656,,10.0,12.0
5135,5.9,132,,8.0,2.0
5136,7.4,1777,,38.0,10.0
5137,6.0,341,,22.0,20.0
5138,7.3,251,,2.0,1.0
5139,6.6,125,,1.0,
5140,6.4,415,,17.0,9.0
5141,7.0,3258,,80.0,20.0
5142,7.3,1296,,34.0,14.0
5143,6.6,1064,,21.0,10.0
5144,6.1,217,,11.0,5.0
5145,5.8,239,,7.0,2.0
5146,5.8,227,,14.0,5.0
5147,2.9,512,,26.0,16.0
5148,6.8,1247,,31.0,16.0
5149,6.7,1989,43.0,28.0,18.0
5150,5.9,295,,16.0,8.0
5151,6.7,5325,,72.0,29.0
5152,7.0,1897,,33.0,12.0
5153,6.0,846,,32.0,19.0
5154,6.4,183,,7.0,5.0
5155,6.1,1949,,15.0,20.0
5156,5.4,707,,24.0,24.0
5157,6.3,154,,3.0,3.0
5158,6.9,2633,,46.0,17.0
5159,6.6,163,,2.0,2.0
5160,6.3,808,,27.0,9.0
5161,5.4,124,,8.0,5.0
5162,7.0,1256,,39.0,18.0
5163,6.8,2360,,57.0,21.0
5164,7.0,2109,,27.0,14.0
5165,6.1,152,,,
5166,6.8,414,,17.0,4.0
5167,6.3,607,,14.0,6.0
5168,5.7,324,,9.0,6.0
5169,5.8,399,,12.0,16.0
5170,6.8,254,,2.0,2.0
5171,7.0,799,,6.0,7.0
5172,6.6,2246,,58.0,40.0
5173,6.8,261,,10.0,2.0
5174,6.8,194,,12.0,5.0
5175,6.8,3457,,66.0,42.0
5176,6.4,657,,18.0,5.0
5177,5.3,121,,10.0,7.0
5178,7.9,23710,92.0,142.0,88.0
5179,6.3,196,,10.0,
5180,7.9,77516,,284.0,114.0
5181,7.0,2623,,56.0,33.0
5182,5.8,202,,6.0,1.0
5183,7.1,5411,,63.0,45.0
5184,6.9,157,,7.0,1.0
5185,6.9,142,,9.0,1.0
5186,6.4,1237,,30.0,7.0
5187,6.4,286,,14.0,6.0
5188,6.4,307,,11.0,4.0
5189,6.2,103,,5.0,1.0
5190,5.8,215,,19.0,
5191,6.2,326,,6.0,7.0
5192,4.3,1173,,38.0,27.0
5193,6.3,2524,,54.0,14.0
5194,6.2,775,,20.0,9.0
5195,6.5,172,,3.0,
5196,6.9,1926,,45.0,32.0
5197,7.0,895,,19.0,9.0
5198,5.3,125,,11.0,7.0
5199,5.5,219,,11.0,9.0
5200,6.2,290,,17.0,3.0
5201,6.6,1496,,48.0,25.0
5202,6.7,203,,14.0,
5203,5.4,193,,9.0,
5204,6.3,192,,6.0,3.0
5205,6.6,2408,,33.0,35.0
5206,6.1,298,,15.0,8.0
5207,7.5,2891,,27.0,31.0
5208,6.6,299,,6.0,4.0
5209,6.9,232,,1.0,
5210,6.4,1332,,21.0,6.0
5211,6.5,1249,,31.0,10.0
5212,6.2,235,,10.0,5.0
5213,6.7,185,,1.0,2.0
5214,5.8,304,,9.0,6.0
5215,6.8,367,,15.0,4.0
5216,6.6,1023,,21.0,9.0
5217,6.7,1074,,27.0,12.0
5218,7.1,3939,,88.0,42.0
5219,7.1,4143,,55.0,40.0
5220,6.8,1613,,40.0,19.0
5221,7.1,2985,,67.0,19.0
5222,6.8,1466,,47.0,19.0
5223,5.0,181,,10.0,3.0
5224,6.6,1252,,4.0,12.0
5225,4.7,174,,11.0,16.0
5226,6.0,236,,12.0,6.0
5227,7.0,130,,7.0,
5228,6.6,763,,27.0,6.0
5229,7.0,687,,8.0,6.0
5230,6.6,1158,,17.0,13.0
5231,6.1,1123,,27.0,11.0
5232,5.3,175,,7.0,4.0
5233,7.4,359,,3.0,2.0
5234,6.6,207,,5.0,1.0
5235,7.0,3653,,69.0,35.0
5236,6.9,5279,,71.0,25.0
5237,6.6,133,,3.0,
5238,6.9,163,,16.0,4.0
5239,6.8,7858,,101.0,46.0
5240,6.2,650,,17.0,14.0
5241,7.7,675,,7.0,9.0
5242,5.0,298,,22.0,16.0
5243,5.9,214,,10.0,
5244,6.4,346,,11.0,8.0
5245,6.5,419,,12.0,9.0
5246,6.8,179,,8.0,2.0
5247,5.7,295,,15.0,5.0
5248,4.6,194,,14.0,2.0
5249,4.9,398,,28.0,24.0
5250,6.5,102,,6.0,
5251,7.2,195,,,
5252,6.5,363,,11.0,3.0
5253,6.7,188,,17.0,
5254,5.8,302,,11.0,10.0
5255,7.7,27180,,171.0,95.0
5256,7.8,21540,90.0,110.0,62.0
5257,5.3,172,,10.0,
5258,7.5,4207,,68.0,38.0
5259,7.0,796,,21.0,5.0
5260,7.1,3498,,58.0,22.0
5261,6.0,623,,21.0,1.0
5262,6.5,115,,7.0,1.0
5263,6.5,223,,15.0,2.0
5264,6.1,403,,20.0,4.0
5265,6.3,213,,9.0,2.0
5266,7.2,224,,24.0,3.0
5267,6.2,421,,15.0,8.0
5268,6.2,729,,33.0,26.0
5269,7.3,3819,,70.0,22.0
5270,6.4,263,,9.0,11.0
5271,6.9,186,,8.0,2.0
5272,6.1,164,,12.0,2.0
5273,6.2,271,,14.0,2.0
5274,6.1,339,,19.0,4.0
5275,5.9,138,,7.0,4.0
5276,6.6,115,,2.0,1.0
5277,6.6,144,,9.0,1.0
5278,8.6,388310,89.0,948.0,177.0
5279,6.2,155,,6.0,2.0
5280,7.2,1468,,55.0,8.0
5281,6.4,111,,2.0,3.0
5282,6.6,147,,8.0,1.0
5283,6.4,213,,11.0,4.0
5284,7.1,392,,12.0,3.0
5285,6.6,997,,14.0,11.0
5286,7.8,18593,,124.0,106.0
5287,6.5,2436,,18.0,19.0
5288,5.6,115,,,1.0
5289,6.3,293,,10.0,1.0
5290,6.8,197,,3.0,1.0
5291,6.8,151,,7.0,1.0
5292,7.0,1148,,18.0,9.0
5293,6.4,325,,14.0,3.0
5294,7.2,2320,,59.0,16.0
5295,6.1,133,,4.0,9.0
5296,5.9,574,,16.0,10.0
5297,6.3,124,,4.0,
5298,6.9,133,,1.0,1.0
5299,6.7,167,,3.0,1.0
5300,6.4,166,,13.0,1.0
5301,6.0,293,,15.0,15.0
5302,6.3,3600,60.0,33.0,15.0
5303,6.8,852,,24.0,9.0
5304,7.2,707,,38.0,5.0
5305,6.4,308,,7.0,3.0
5306,5.7,175,,9.0,15.0
5307,8.1,18806,,178.0,70.0
5308,6.3,182,,9.0,
5309,7.0,446,,9.0,5.0
5310,6.1,149,,11.0,1.0
5311,6.0,259,,10.0,1.0
5312,6.0,227,,8.0,1.0
5313,7.8,21122,,159.0,89.0
5314,6.5,448,,16.0,3.0
5315,7.0,1250,,39.0,7.0
5316,6.6,420,,17.0,8.0
5317,6.8,805,,27.0,8.0
5318,6.7,601,,17.0,8.0
5319,6.1,2615,,54.0,12.0
5320,7.0,5892,,64.0,28.0
5321,5.4,140,,4.0,4.0
5322,5.9,123,,6.0,1.0
5323,7.0,1302,,21.0,11.0
5324,6.5,1305,,44.0,13.0
5325,7.4,165,,2.0,
5326,7.9,90400,100.0,348.0,145.0
5327,5.6,181,,6.0,4.0
5328,6.8,344,,7.0,5.0
5329,6.4,574,,22.0,3.0
5330,6.5,381,,19.0,1.0
5331,7.0,222,,2.0,8.0
5332,7.3,255,,6.0,4.0
5333,6.6,388,,9.0,9.0
5334,8.0,1447,,19.0,22.0
5335,6.8,197,,6.0,
5336,6.6,101,,2.0,1.0
5337,5.2,117,,7.0,2.0
5338,6.0,102,,4.0,1.0
5339,6.6,233,,11.0,6.0
5340,7.1,111,,,
5341,6.6,190,,11.0,1.0
5342,7.2,1002,,10.0,9.0
5343,7.5,18084,84.0,151.0,73.0
5344,6.6,205,,5.0,1.0
5345,6.8,189,,2.0,3.0
5346,7.4,5229,,87.0,31.0
5347,5.2,117,,11.0,1.0
5348,6.1,114,,2.0,3.0
5349,6.2,128,,8.0,2.0
5350,8.0,22689,,75.0,94.0
5351,6.8,131,,2.0,4.0
5352,5.9,216,,6.0,3.0
5353,6.7,862,,19.0,26.0
5354,6.5,154,,7.0,
5355,8.0,6377,,24.0,44.0
5356,6.5,536,,20.0,4.0
5357,6.5,346,,18.0,8.0
5358,6.6,356,,19.0,2.0
5359,6.7,1533,,43.0,11.0
5360,5.7,159,,7.0,3.0
5361,6.0,236,,13.0,1.0
5362,6.0,171,,3.0,
5363,6.8,637,,22.0,8.0
5364,5.3,2199,,54.0,39.0
5365,6.3,2275,,69.0,45.0
5366,6.1,209,,4.0,5.0
5367,7.2,945,,15.0,8.0
5368,6.7,335,,19.0,2.0
5369,6.5,106,,7.0,2.0
5370,6.3,1083,,24.0,24.0
5371,6.6,322,,16.0,
5372,7.1,2414,,45.0,27.0
5373,5.7,116,,8.0,2.0
5374,7.1,11103,54.0,266.0,39.0
5375,7.2,200,,2.0,4.0
5376,6.0,197,,20.0,2.0
5377,6.0,173,,10.0,15.0
5378,7.4,8780,,115.0,61.0
5379,6.1,457,,16.0,5.0
5380,6.0,117,,9.0,2.0
5381,6.3,329,,16.0,4.0
5382,7.3,3074,,35.0,15.0
5383,6.4,630,,21.0,12.0
5384,7.4,8145,,114.0,39.0
5385,6.7,1687,,53.0,18.0
5386,7.4,23436,76.0,213.0,88.0
5387,6.5,330,,12.0,10.0
5388,6.2,196,,11.0,4.0
5389,5.2,320,,19.0,2.0
5390,6.9,456,,4.0,2.0
5391,6.3,2149,,22.0,11.0
5392,6.9,5290,,77.0,29.0
5393,6.7,225,,12.0,1.0
5394,6.0,229,,10.0,5.0
5395,6.6,253,,14.0,6.0
5396,7.0,1784,,40.0,23.0
5397,6.7,314,,12.0,2.0
5398,6.1,129,,8.0,2.0
5399,6.8,1073,,45.0,14.0
5400,7.7,2908,,57.0,27.0
5401,6.2,223,,15.0,2.0
5402,7.7,2300,67.0,37.0,11.0
5403,7.4,2270,,60.0,16.0
5404,7.9,571,,2.0,1.0
5405,6.4,408,,15.0,1.0
5406,6.7,493,,19.0,6.0
5407,6.4,441,,13.0,8.0
5408,6.8,432,,14.0,5.0
5409,7.3,215,,3.0,2.0
5410,6.5,2683,,67.0,22.0
5411,6.1,237,,17.0,6.0
5412,6.4,257,,10.0,2.0
5413,7.1,1119,,6.0,16.0
5414,5.2,205,,11.0,11.0
5415,7.2,1770,,42.0,14.0
5416,6.5,983,,16.0,18.0
5417,7.2,237,,3.0,
5418,7.1,2852,,26.0,35.0
5419,6.8,359,,13.0,4.0
5420,5.8,110,,9.0,
5421,5.6,960,,33.0,10.0
5422,6.5,1478,,31.0,16.0
5423,7.1,5240,89.0,77.0,23.0
5424,6.8,104,,3.0,
5425,6.1,257,,13.0,1.0
5426,6.5,2834,,58.0,30.0
5427,6.2,154,,6.0,
5428,6.6,161,,7.0,5.0
5429,6.4,114,,2.0,
5430,4.7,146,,11.0,
5431,6.7,444,,3.0,5.0
5432,7.0,163,,4.0,2.0
5433,6.9,5111,,62.0,33.0
5434,7.4,289,,5.0,2.0
5435,7.3,758,,8.0,12.0
5436,6.3,112,,9.0,1.0
5437,6.4,194,,17.0,11.0
5438,5.7,257,,17.0,4.0
5439,7.3,7599,,60.0,22.0
5440,6.1,310,,5.0,7.0
5441,5.9,132,,4.0,2.0
5442,6.7,542,,21.0,6.0
5443,5.7,302,,18.0,2.0
5444,5.7,142,,12.0,3.0
5445,5.6,220,,14.0,3.0
5446,7.6,13635,72.0,151.0,46.0
5447,6.4,139,,6.0,1.0
5448,7.8,20946,,163.0,104.0
5449,5.9,319,,1.0,7.0
5450,5.9,155,,8.0,3.0
5451,6.7,740,,30.0,9.0
5452,6.3,137,,2.0,
5453,6.7,135,,9.0,
5454,5.0,119,,11.0,3.0
5455,7.0,157,,5.0,1.0
5456,6.8,139,,6.0,1.0
5457,6.7,140,,6.0,1.0
5458,6.9,134,,8.0,1.0
5459,7.6,4226,,52.0,35.0
5460,7.2,3964,,67.0,45.0
5461,7.2,4403,,88.0,41.0
5462,7.0,139,,8.0,1.0
5463,7.1,147,,3.0,
5464,6.2,281,,9.0,2.0
5465,6.5,892,,26.0,14.0
5466,7.4,5118,,61.0,60.0
5467,7.6,8734,80.0,79.0,70.0
5468,7.0,1852,,16.0,6.0
5469,6.1,234,,10.0,11.0
5470,6.2,370,,12.0,4.0
5471,6.9,160,,2.0,3.0
5472,6.5,177,,3.0,2.0
5473,6.4,371,,15.0,8.0
5474,5.9,196,,9.0,1.0
5475,6.5,331,,7.0,2.0
5476,6.9,1760,,50.0,22.0
5477,6.4,285,,21.0,3.0
5478,5.9,145,,7.0,4.0
5479,6.4,880,,19.0,7.0
5480,6.6,131,,4.0,1.0
5481,6.4,436,,8.0,6.0
5482,6.2,464,,26.0,10.0
5483,5.9,476,,17.0,6.0
5484,6.2,1143,,22.0,13.0
5485,6.0,269,,11.0,4.0
5486,6.5,162,,4.0,1.0
5487,5.8,193,,10.0,4.0
5488,6.6,1252,,33.0,11.0
5489,6.2,474,,22.0,2.0
5490,6.7,140,,3.0,1.0
5491,6.7,216,,14.0,7.0
5492,6.9,129,,7.0,
5493,6.2,183,,8.0,2.0
5494,7.5,17241,,156.0,72.0
5495,6.7,208,,12.0,2.0
5496,7.1,6542,,89.0,30.0
5497,6.9,687,,26.0,3.0
5498,7.2,441,,14.0,6.0
5499,6.9,629,,30.0,6.0
5500,6.8,157,,1.0,1.0
5501,7.0,144,,2.0,
5502,6.7,1256,,26.0,29.0
5503,6.2,581,,23.0,4.0
5504,6.8,1900,,48.0,23.0
5505,6.9,754,,29.0,12.0
5506,5.7,102,,5.0,1.0
5507,6.2,1484,,44.0,19.0
5508,6.0,893,,22.0,13.0
5509,7.2,204,,2.0,8.0
5510,6.5,1053,,30.0,10.0
5511,6.9,141,,1.0,1.0
5512,7.0,2954,,53.0,37.0
5513,6.2,1152,,31.0,10.0
5514,6.8,764,,12.0,9.0
5515,7.2,274,,7.0,9.0
5516,6.1,118,,,
5517,7.0,374,,8.0,4.0
5518,7.1,2325,,34.0,10.0
5519,7.0,139,,3.0,1.0
5520,6.1,443,,16.0,7.0
5521,6.6,403,,10.0,6.0
5522,5.9,109,,7.0,2.0
5523,5.6,466,,20.0,4.0
5524,6.3,131,,3.0,6.0
5525,7.2,2270,,33.0,16.0
5526,6.4,1313,,49.0,21.0
5527,5.9,444,,22.0,7.0
5528,6.8,166,,2.0,3.0
5529,6.2,176,,9.0,5.0
5530,5.3,101,,6.0,
5531,6.6,1186,,24.0,14.0
5532,6.7,449,,14.0,4.0
5533,7.0,1274,,26.0,8.0
5534,6.9,336,,12.0,1.0
5535,6.3,2083,,40.0,23.0
5536,6.6,6779,66.0,38.0,26.0
5537,6.7,140,,7.0,
5538,6.5,206,,10.0,2.0
5539,6.6,730,,18.0,8.0
5540,7.2,14511,,148.0,73.0
5541,7.9,9984,,53.0,56.0
5542,6.2,119,,7.0,3.0
5543,7.9,15297,,133.0,78.0
5544,5.9,248,,11.0,2.0
5545,7.2,342,,5.0,7.0
5546,6.9,115,,1.0,1.0
5547,6.7,991,,23.0,12.0
5548,6.9,2360,,44.0,12.0
5549,5.9,688,,4.0,18.0
5550,6.8,1294,,52.0,7.0
5551,6.3,441,,15.0,7.0
5552,6.4,162,,6.0,6.0
5553,6.3,587,,19.0,8.0
5554,6.2,128,,2.0,
5555,6.3,275,,15.0,2.0
5556,5.3,105,,7.0,1.0
5557,6.7,402,,38.0,3.0
5558,6.0,314,,8.0,3.0
5559,5.8,221,,13.0,4.0
5560,6.4,341,,19.0,1.0
5561,6.6,103,,5.0,5.0
5562,7.0,1401,,32.0,9.0
5563,6.0,378,,10.0,4.0
5564,6.9,101,,5.0,1.0
5565,6.7,1349,,25.0,12.0
5566,6.8,1333,,26.0,24.0
5567,6.2,512,,10.0,4.0
5568,7.0,2329,,35.0,14.0
5569,6.8,163,,14.0,
5570,6.6,208,,9.0,2.0
5571,6.5,575,,15.0,4.0
5572,6.3,467,,19.0,4.0
5573,7.4,271,,3.0,4.0
5574,6.6,608,,24.0,5.0
5575,6.6,130,,2.0,1.0
5576,5.6,125,,5.0,
5577,6.6,620,,21.0,4.0
5578,6.5,737,,30.0,9.0
5579,7.7,3323,,68.0,12.0
5580,6.0,196,,10.0,2.0
5581,7.1,740,,23.0,8.0
5582,6.5,282,,13.0,3.0
5583,6.8,125,,2.0,2.0
5584,7.1,196,,7.0,5.0
5585,6.8,1492,,35.0,10.0
5586,6.9,252,,4.0,8.0
5587,5.5,104,,5.0,1.0
5588,6.5,344,,14.0,4.0
5589,7.4,334,,4.0,14.0
5590,6.2,125,,1.0,
5591,6.6,4916,,106.0,45.0
5592,7.0,253,,10.0,6.0
5593,5.6,103,,2.0,1.0
5594,7.0,730,,23.0,4.0
5595,7.7,1035,,4.0,2.0
5596,7.2,4567,73.0,58.0,22.0
5597,5.9,124,,1.0,1.0
5598,6.2,347,,12.0,5.0
5599,6.0,187,,6.0,3.0
5600,6.6,1399,,40.0,14.0
5601,5.7,136,,9.0,4.0
5602,6.9,923,,27.0,20.0
5603,5.9,199,,11.0,
5604,6.8,135,,4.0,1.0
5605,7.0,2962,,73.0,33.0
5606,6.5,763,,19.0,5.0
5607,6.0,172,,8.0,1.0
5608,6.5,1426,,24.0,12.0
5609,6.0,155,,4.0,2.0
5610,6.9,114,,4.0,2.0
5611,7.1,732,,10.0,16.0
5612,6.4,379,,11.0,1.0
5613,6.1,216,,9.0,5.0
5614,6.8,365,,14.0,6.0
5615,7.9,39089,88.0,184.0,109.0
5616,7.9,15450,,84.0,72.0
5617,7.0,693,,6.0,5.0
5618,6.6,558,,16.0,11.0
5619,6.5,962,,40.0,10.0
5620,6.8,2962,,65.0,21.0
5621,6.4,344,,17.0,5.0
5622,5.9,118,,,
5623,6.3,108,,,
5624,7.8,1683,,14.0,15.0
5625,6.7,428,,23.0,9.0
5626,6.4,252,,13.0,3.0
5627,6.9,656,,12.0,10.0
5628,6.4,419,,21.0,7.0
5629,5.8,330,,20.0,5.0
5630,7.2,1430,,48.0,11.0
5631,7.9,939,,7.0,2.0
5632,7.1,1031,,30.0,15.0
5633,7.7,8764,,102.0,75.0
5634,6.4,139,,12.0,3.0
5635,6.8,343,,3.0,2.0
5636,6.2,624,,21.0,8.0
5637,6.5,194,,12.0,6.0
5638,8.0,31759,,238.0,145.0
5639,6.6,9841,,106.0,38.0
5640,6.5,1017,,35.0,7.0
5641,5.9,114,,6.0,3.0
5642,6.0,108,,7.0,4.0
5643,6.7,231,,1.0,2.0
5644,7.2,4433,,73.0,38.0
5645,6.6,297,,9.0,7.0
5646,6.7,628,,21.0,30.0
5647,7.2,2773,,45.0,41.0
5648,7.8,4978,89.0,31.0,48.0
