,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics
188,6.7,315,,5.0,10.0
189,6.7,1083,,16.0,15.0
190,7.0,4753,,73.0,67.0
191,6.6,717,,12.0,10.0
192,6.2,123,,1.0,2.0
193,6.6,291,,12.0,4.0
194,6.4,308,,4.0,6.0
195,6.0,848,,14.0,7.0
196,7.2,6577,,51.0,49.0
197,5.1,260,,11.0,7.0
198,7.1,165,,3.0,6.0
199,6.9,187,,3.0,3.0
200,6.2,135,,3.0,3.0
201,6.2,105,,4.0,
202,6.6,332,,4.0,3.0
203,6.0,113,,,
204,6.8,323,,3.0,3.0
205,6.7,264,,3.0,1.0
206,6.7,1102,,28.0,7.0
207,4.9,142,,5.0,1.0
208,5.9,105,,11.0,2.0
209,7.1,2145,,37.0,23.0
210,6.6,195,,3.0,3.0
211,6.5,129,,5.0,6.0
212,5.7,189,,11.0,3.0
213,6.4,355,,15.0,2.0
214,7.1,1032,,13.0,14.0
215,6.1,149,,2.0,
216,6.5,153,,5.0,1.0
217,5.7,123,,4.0,1.0
218,6.1,1402,,22.0,17.0
219,6.0,265,,8.0,
220,5.2,575,,3.0,
221,6.4,763,,11.0,18.0
222,6.3,210,,9.0,1.0
223,6.1,625,,12.0,14.0
224,5.5,168,,5.0,2.0
225,6.5,191,,12.0,5.0
226,6.9,425,,6.0,10.0
227,6.1,356,,7.0,7.0
228,7.4,4961,,51.0,30.0
229,6.7,1321,,24.0,8.0
230,6.3,2465,,21.0,13.0
231,6.8,1037,,31.0,7.0
232,6.0,101,,1.0,3.0
233,6.6,1208,,19.0,3.0
234,6.9,364,,4.0,8.0
235,7.0,1025,,12.0,15.0
236,6.8,497,,21.0,7.0
237,6.4,170,,2.0,1.0
238,6.6,875,,34.0,6.0
239,6.8,415,,16.0,3.0
240,5.5,133,,7.0,2.0
241,6.4,116,,3.0,
242,7.0,362,,3.0,4.0
243,6.4,268,,6.0,1.0
244,6.5,123,,4.0,2.0
245,7.2,3058,,45.0,16.0
246,7.0,382,,5.0,8.0
247,6.8,209,,9.0,
248,6.7,286,,4.0,9.0
249,6.6,239,,5.0,9.0
250,6.8,215,,1.0,1.0
251,8.3,109038,,173.0,105.0
252,8.1,10054,,68.0,82.0
253,6.1,268,,9.0,1.0
254,6.7,276,,7.0,4.0
255,6.5,338,,12.0,2.0
256,7.0,311,,11.0,2.0
257,6.2,237,,8.0,
258,7.7,5136,,34.0,43.0
259,6.5,209,,9.0,2.0
260,7.4,4678,,40.0,24.0
261,6.5,469,,17.0,9.0
262,6.7,130,,2.0,6.0
263,6.9,941,,13.0,5.0
264,6.8,123,,4.0,2.0
265,6.4,217,,5.0,3.0
266,6.2,1391,,20.0,34.0
267,6.4,3055,,31.0,23.0
268,5.8,109,,6.0,2.0
269,6.9,135,,7.0,4.0
270,6.9,846,,15.0,13.0
271,6.8,163,,9.0,
272,6.8,1722,,15.0,7.0
273,5.9,133,,8.0,
274,6.2,323,,4.0,5.0
275,6.1,766,,5.0,2.0
276,6.7,2216,,52.0,16.0
277,6.4,1234,,20.0,13.0
278,6.9,566,,13.0,4.0
279,6.2,255,,6.0,
280,7.1,340,,10.0,4.0
281,6.3,343,,4.0,1.0
282,7.1,1194,,18.0,8.0
283,6.1,336,,16.0,7.0
284,6.5,118,,1.0,1.0
285,6.2,151,,10.0,
286,7.0,3072,,26.0,31.0
287,6.5,360,,4.0,3.0
288,7.0,1618,,24.0,16.0
289,4.9,225,,10.0,4.0
290,6.7,268,,15.0,8.0
291,5.4,226,,12.0,9.0
292,6.2,415,,11.0,4.0
293,6.6,293,,6.0,2.0
294,6.7,333,,6.0,8.0
295,6.4,310,,14.0,5.0
296,6.9,115,,,3.0
297,7.9,86620,,419.0,202.0
298,6.7,706,,19.0,2.0
299,6.4,233,,10.0,5.0
300,6.9,1528,,19.0,24.0
301,6.7,452,,16.0,5.0
302,7.2,1971,,25.0,19.0
303,6.6,807,,26.0,7.0
304,6.6,101,,4.0,3.0
305,6.8,842,,15.0,16.0
306,5.9,101,,3.0,
307,6.3,365,,16.0,7.0
308,5.8,551,,18.0,15.0
309,5.8,158,,6.0,1.0
310,6.0,169,,6.0,2.0
311,6.9,418,,13.0,4.0
312,7.0,500,,2.0,12.0
313,6.6,642,,25.0,12.0
314,6.0,118,,10.0,3.0
315,5.8,136,,6.0,3.0
316,6.6,443,,9.0,14.0
317,6.3,968,,6.0,4.0
318,6.3,366,,12.0,4.0
319,6.8,119,,3.0,6.0
320,5.2,319,,,
321,7.5,1103,,6.0,17.0
322,6.6,505,,6.0,14.0
323,6.6,1068,,15.0,4.0
324,6.9,144,,5.0,5.0
325,7.1,1085,,17.0,16.0
326,5.5,114,,6.0,2.0
327,7.2,4711,,63.0,53.0
328,6.2,893,,7.0,6.0
329,7.8,9902,,54.0,47.0
330,7.4,4261,,26.0,15.0
331,6.8,253,,5.0,3.0
332,6.5,269,,4.0,3.0
333,7.5,1889,,19.0,30.0
334,8.1,17795,,91.0,93.0
335,7.0,533,,16.0,4.0
336,6.7,248,,3.0,5.0
337,6.5,375,,18.0,6.0
338,7.0,826,,26.0,5.0
339,7.0,347,,4.0,2.0
340,6.2,134,,2.0,1.0
341,6.8,1915,,34.0,11.0
342,7.1,3949,,24.0,36.0
343,6.6,1702,,25.0,27.0
344,6.4,157,,10.0,2.0
345,6.8,390,,17.0,3.0
346,6.2,117,,9.0,6.0
347,7.4,1532,,26.0,12.0
348,7.0,4735,,37.0,24.0
349,6.2,786,,4.0,10.0
350,6.6,2303,,36.0,31.0
351,6.4,344,,10.0,2.0
352,6.7,407,,16.0,7.0
353,5.9,131,,8.0,3.0
354,6.9,208,,9.0,3.0
355,6.5,212,,4.0,1.0
356,5.7,105,,4.0,5.0
357,6.9,125,,4.0,2.0
358,6.5,611,,6.0,2.0
359,6.3,119,,6.0,1.0
360,6.8,530,,11.0,9.0
361,6.4,741,,7.0,18.0
362,6.1,125,,2.0,3.0
363,7.7,3024,,63.0,13.0
364,7.8,3044,,48.0,22.0
365,6.8,253,,6.0,4.0
366,7.2,1210,,19.0,9.0
367,7.2,712,,6.0,21.0
368,7.2,1898,,30.0,39.0
369,6.9,292,,9.0,3.0
370,5.7,665,,5.0,1.0
371,6.7,145,,4.0,6.0
372,8.1,12157,,61.0,82.0
373,6.5,973,,5.0,5.0
374,7.2,1061,,11.0,10.0
375,7.1,1540,,22.0,27.0
376,5.7,447,,8.0,2.0
377,7.7,8853,,55.0,39.0
378,6.6,865,,14.0,11.0
379,7.9,3860,,20.0,42.0
380,8.1,5082,,29.0,51.0
381,4.7,104,,5.0,1.0
382,7.1,2263,,25.0,24.0
383,6.8,137,,3.0,3.0
384,7.2,1541,,13.0,14.0
385,7.1,881,,24.0,20.0
386,7.1,415,,22.0,4.0
387,6.3,164,,9.0,1.0
388,7.0,466,,10.0,7.0
389,5.5,220,,3.0,
390,8.2,39634,,321.0,71.0
391,7.6,6877,,39.0,33.0
392,7.7,5460,,59.0,65.0
393,6.3,200,,9.0,5.0
394,6.8,430,,16.0,6.0
395,5.9,310,,2.0,1.0
396,5.8,121,,1.0,1.0
397,7.8,5253,,47.0,47.0
398,7.9,6096,,56.0,54.0
399,6.2,767,,14.0,12.0
400,7.0,177,,2.0,
401,8.0,51775,,210.0,85.0
402,6.3,491,,12.0,4.0
403,6.6,243,,6.0,4.0
404,6.4,681,,12.0,5.0
405,7.0,415,,10.0,8.0
406,7.1,1703,,21.0,28.0
407,6.6,1718,,28.0,18.0
408,6.3,133,,5.0,1.0
409,7.1,310,,6.0,7.0
410,7.5,4882,,36.0,39.0
411,7.2,1348,,19.0,18.0
412,5.8,100,,,2.0
413,6.6,417,,2.0,4.0
414,7.2,3710,,23.0,29.0
415,8.2,97480,,190.0,125.0
416,6.9,151,,6.0,3.0
417,8.1,8898,,88.0,50.0
418,6.9,225,,2.0,7.0
419,6.5,151,,7.0,1.0
420,6.6,112,,4.0,3.0
421,7.3,978,,17.0,11.0
422,6.6,544,,19.0,4.0
423,5.0,125,,3.0,2.0
424,7.2,475,,11.0,6.0
425,6.0,448,,1.0,
426,6.7,877,,16.0,5.0
427,7.1,1420,,21.0,5.0
428,7.0,4513,,84.0,64.0
429,7.3,2126,,16.0,19.0
430,6.2,906,,29.0,18.0
431,6.4,105,,3.0,5.0
432,7.1,310,,5.0,7.0
433,6.2,205,,10.0,3.0
434,6.7,127,,7.0,2.0
435,7.6,16255,,152.0,99.0
436,6.0,269,,11.0,2.0
437,6.0,2111,,23.0,23.0
438,7.0,190,,4.0,5.0
439,6.8,134,,3.0,1.0
440,3.7,132,,2.0,1.0
441,7.1,319,,11.0,3.0
442,6.6,297,,16.0,5.0
443,6.4,170,,6.0,3.0
444,6.8,126,,7.0,1.0
445,6.6,483,,18.0,9.0
446,3.8,132,,3.0,3.0
447,6.7,322,,7.0,10.0
448,7.9,8943,,55.0,53.0
449,6.1,113,,5.0,3.0
450,4.1,112,,3.0,
451,6.4,219,,7.0,11.0
452,6.5,831,,6.0,4.0
453,7.2,277,,10.0,7.0
454,6.5,538,,20.0,7.0
455,7.2,1613,,35.0,22.0
456,6.8,288,,14.0,6.0
457,7.4,1022,,13.0,19.0
458,7.7,693,,15.0,11.0
459,6.7,152,,2.0,3.0
460,5.1,1395,,48.0,18.0
461,5.8,242,,12.0,11.0
462,6.9,123,,7.0,1.0
463,6.8,111,,1.0,1.0
464,5.4,609,,3.0,2.0
465,6.6,123,,2.0,3.0
466,7.0,1050,,17.0,15.0
467,6.5,678,,29.0,16.0
468,7.0,2820,,23.0,27.0
469,7.0,338,,11.0,3.0
470,6.5,354,,15.0,10.0
471,6.3,217,,9.0,1.0
472,5.9,451,,3.0,
473,7.1,1656,,34.0,26.0
474,6.8,618,,18.0,7.0
475,5.5,139,,5.0,2.0
476,7.3,1427,,23.0,5.0
477,5.0,438,,13.0,3.0
478,6.2,1402,,12.0,3.0
479,6.6,117,,1.0,2.0
480,6.6,142,,13.0,4.0
481,7.0,728,,26.0,15.0
482,6.7,888,,14.0,7.0
483,4.6,120,,2.0,1.0
484,6.9,399,,15.0,4.0
485,8.1,13588,,65.0,54.0
486,6.4,208,,9.0,3.0
487,5.8,770,,5.0,3.0
488,7.6,3901,,39.0,28.0
489,7.5,1401,,17.0,12.0
490,6.9,632,,11.0,18.0
491,6.3,270,,9.0,2.0
492,6.6,213,,9.0,3.0
493,6.7,675,,17.0,17.0
494,6.0,127,,5.0,4.0
495,6.4,245,,10.0,4.0
496,6.9,130,,8.0,2.0
497,6.7,399,,12.0,2.0
498,7.4,2758,,30.0,27.0
499,7.3,10024,,102.0,87.0
500,6.3,200,,5.0,1.0
501,6.7,430,,11.0,19.0
502,6.7,545,,18.0,11.0
503,6.8,309,,13.0,6.0
504,6.8,315,,11.0,4.0
505,7.5,2442,,13.0,13.0
506,8.3,156076,98.0,495.0,208.0
507,6.8,263,,8.0,10.0
508,5.7,101,,4.0,1.0
509,7.0,109,,2.0,1.0
510,6.8,682,,10.0,10.0
511,5.2,227,,2.0,1.0
512,6.7,185,,5.0,4.0
513,7.7,919,,10.0,15.0
514,7.1,127,,3.0,1.0
515,6.6,150,,4.0,5.0
516,6.0,103,,1.0,2.0
517,7.7,1542,,29.0,13.0
518,6.5,136,,6.0,3.0
519,5.8,126,,1.0,3.0
520,6.7,283,,2.0,2.0
521,6.8,245,,10.0,3.0
522,7.0,317,,6.0,6.0
523,6.2,167,,4.0,5.0
524,6.6,1788,,24.0,22.0
525,6.2,206,,7.0,4.0
526,7.3,1148,,33.0,24.0
527,6.7,766,,18.0,17.0
528,6.9,573,,12.0,8.0
529,7.1,1945,,16.0,30.0
530,6.9,1066,,26.0,11.0
531,7.5,1010,,18.0,22.0
532,6.9,691,,10.0,8.0
533,6.1,604,,15.0,19.0
534,6.6,122,,10.0,6.0
535,6.4,1722,,15.0,5.0
536,6.8,347,,8.0,7.0
537,7.0,690,,15.0,6.0
538,7.5,339,,,
539,6.2,285,,8.0,8.0
540,5.9,355,,5.0,1.0
541,7.1,196,,3.0,1.0
542,7.0,186,,5.0,3.0
543,6.9,701,,14.0,6.0
544,6.4,106,,4.0,1.0
545,6.8,228,,14.0,5.0
546,6.8,171,,4.0,2.0
547,7.1,2654,,53.0,57.0
548,7.1,374,,13.0,14.0
549,6.6,213,,10.0,8.0
550,7.1,4268,,37.0,52.0
551,7.2,599,,10.0,8.0
552,6.1,2082,,28.0,30.0
553,4.8,206,,7.0,2.0
554,5.7,2465,,39.0,34.0
555,5.6,710,,4.0,1.0
556,6.4,193,,12.0,4.0
557,6.9,284,,12.0,10.0
558,8.1,78769,,288.0,117.0
559,6.7,162,,8.0,3.0
560,7.0,759,,7.0,4.0
561,7.4,919,,5.0,11.0
562,7.1,237,,11.0,7.0
563,6.6,210,,9.0,7.0
564,6.4,185,,7.0,3.0
565,7.3,2912,,65.0,24.0
566,6.5,8866,66.0,104.0,63.0
567,6.8,263,,6.0,12.0
568,7.6,3747,,30.0,25.0
569,7.2,1890,,48.0,24.0
570,7.3,1494,,17.0,13.0
571,7.3,660,,10.0,11.0
572,6.8,1161,,23.0,21.0
573,6.3,431,,14.0,14.0
574,6.9,885,,18.0,10.0
575,6.1,764,,6.0,4.0
576,5.9,356,,3.0,1.0
577,6.7,390,,17.0,4.0
578,6.4,525,,19.0,3.0
579,7.4,787,,22.0,12.0
580,8.1,6864,,66.0,44.0
581,7.5,6877,,50.0,23.0
582,6.4,316,,17.0,6.0
583,6.8,119,,7.0,
584,6.3,110,,2.0,5.0
585,5.8,468,,4.0,2.0
586,6.3,103,,5.0,1.0
587,6.4,733,,6.0,2.0
588,6.6,1342,,18.0,3.0
589,6.2,3088,,46.0,34.0
590,7.0,188,,7.0,7.0
591,6.2,327,,16.0,1.0
592,7.6,3098,,32.0,34.0
593,5.6,141,,3.0,
594,7.1,352,,7.0,14.0
595,6.9,498,,15.0,9.0
596,4.0,481,,2.0,
597,6.0,884,,13.0,4.0
598,7.6,1335,,28.0,11.0
599,6.3,103,,2.0,
600,8.1,46069,,250.0,186.0
601,5.5,126,,6.0,4.0
602,6.9,1422,,29.0,5.0
603,6.1,105,,10.0,6.0
604,5.8,465,,2.0,2.0
605,7.4,1034,,9.0,9.0
606,5.2,551,,2.0,1.0
607,6.7,888,,27.0,6.0
608,6.8,761,,11.0,7.0
609,6.7,379,,22.0,6.0
610,7.6,2545,,31.0,50.0
611,7.8,6992,,109.0,53.0
612,6.2,248,,8.0,13.0
613,6.8,308,,14.0,3.0
614,7.5,11139,,95.0,92.0
615,3.1,105,,2.0,1.0
616,6.7,200,,6.0,5.0
617,6.3,106,,5.0,3.0
618,7.0,291,,8.0,2.0
619,6.0,948,,18.0,4.0
620,6.5,395,,12.0,5.0
621,7.5,945,,24.0,17.0
622,4.9,134,,3.0,1.0
623,7.9,9541,,90.0,85.0
624,8.1,10101,,61.0,49.0
625,6.2,810,,7.0,2.0
626,5.6,1968,,37.0,31.0
627,7.3,3369,,26.0,39.0
628,8.1,27414,90.0,327.0,65.0
629,6.5,614,,11.0,7.0
630,6.8,149,,1.0,2.0
631,6.7,336,,5.0,4.0
632,7.5,3860,,34.0,51.0
633,7.3,561,,7.0,5.0
634,6.9,121,,1.0,2.0
635,5.9,2434,,45.0,22.0
636,5.9,151,,2.0,3.0
637,7.0,152,,10.0,4.0
638,6.3,134,,2.0,6.0
639,6.9,261,,8.0,5.0
640,7.1,623,,17.0,8.0
641,3.9,307,,,1.0
642,6.8,341,,10.0,11.0
643,6.7,234,,5.0,5.0
644,6.6,630,,8.0,23.0
645,6.6,394,,8.0,8.0
646,6.9,154,,4.0,3.0
647,6.0,116,,8.0,12.0
648,7.1,305,,3.0,8.0
649,6.9,402,,13.0,3.0
650,8.0,3282,,40.0,43.0
651,7.6,1684,,47.0,12.0
652,5.7,735,,20.0,6.0
653,6.1,636,,7.0,2.0
654,7.8,1982,,18.0,36.0
